lme,spatialstrat,temporalstrat,year,age,psc_n,samples_n,reporting_group,sector,mean,sd,lower,median,upper,shrink,notes
Bering Sea,Cluster 2,early,2017,NA,207139,809,SE Asia,NA,0.162,0.014,0.135,0.162,0.192,1,
Bering Sea,Cluster 2,late,2017,NA,13850,74,E GOA/PNW,NA,0.45,0.042,0.369,0.449,0.534,1,
Bering Sea,Cluster 3,early,2017,NA,31915,155,Up/Mid Yukon,NA,0.042,0.017,0.015,0.041,0.079,1,
Bering Sea,Cluster 3,late,2017,NA,2815,12,Up/Mid Yukon,NA,0.02,0.027,0,0.008,0.092,1,
Bering Sea,Cluster 4,early,2017,NA,6090,35,Up/Mid Yukon,NA,0.002,0.005,0,0,0.016,1,
Bering Sea,Cluster 4,late,2017,NA,19078,83,Up/Mid Yukon,NA,0.014,0.011,0,0.012,0.041,1,
GOA,all,all,2017,NA,5802,812,E GOA/PNW,NA,0.845,0.016,0.813,0.845,0.874,1,
Bering Sea,all,A season,2015,NA,4647,142,Up/Mid Yukon,NA,0.019,0.015,0,0.016,0.056,1.00,
Bering Sea,all,B season,2015,NA,232039,1836,Up/Mid Yukon,NA,0.039,0.007,0.026,0.039,0.054,1.00,
Bering Sea,all,early,2015,NA,19138,162,Up/Mid Yukon,NA,0.030,0.017,0.003,0.028,0.068,1.00,
Bering Sea,all,middle,2015,NA,122880,959,Up/Mid Yukon,NA,0.031,0.008,0.017,0.030,0.047,1.00,
Bering Sea,all,late,2015,NA,90021,715,Up/Mid Yukon,NA,0.048,0.012,0.026,0.047,0.072,1.00,
Bering Sea,NMFS 517,all,2015,NA,172641,1362,Up/Mid Yukon,NA,0.038,0.008,0.023,0.037,0.054,1.00,
Bering Sea,NMFS 517,early,2015,NA,8388,71,Up/Mid Yukon,NA,0.008,0.014,0.000,0.001,0.049,1.00,
Bering Sea,NMFS 517,middle,2015,NA,90438,698,Up/Mid Yukon,NA,0.032,0.010,0.015,0.031,0.056,1.00,
Bering Sea,NMFS 517,late,2015,NA,73815,593,Up/Mid Yukon,NA,0.053,0.013,0.029,0.053,0.080,1.00,
Bering Sea,NMFS 521,all,2015,NA,54442,423,Up/Mid Yukon,NA,0.020,0.009,0.006,0.019,0.041,1.00,
Bering Sea,NMFS 521,early,2015,NA,9619,81,Up/Mid Yukon,NA,0.049,0.026,0.010,0.045,0.110,1.00,
Bering Sea,NMFS 521,middle,2015,NA,30340,235,Up/Mid Yukon,NA,0.028,0.013,0.007,0.026,0.058,1.00,
Bering Sea,NMFS 521,late,2015,NA,14483,107,Up/Mid Yukon,NA,0.023,0.020,0,0.020,0.071,1.00,
Bering Sea,Eastern,all,2015,NA,176886,1407,E GOA/PNW,NA,0.578,0.015,0.549,0.578,0.607,1.00,"NMFS 509, 513, 517, 518, 519)"
Bering Sea,Western,all,2015,NA,55153,429,NE Asia,NA,0.298,0.027,0.246,0.297,0.351,1.00,"NMFS 521, 523, 524"
Bering Sea,Cluster 1,all,2015,NA,,1162,Up/Mid Yukon,NA,0.043,0.009,0.026,0.043,0.062,1.00,
Bering Sea,Cluster 1,early,2015,NA,25417,213,Up/Mid Yukon,NA,0.024,0.016,0.001,0.021,0.064,1.00,
Bering Sea,Cluster 1,late,2015,NA,118231,949,Up/Mid Yukon,NA,0.047,0.010,0.027,0.046,0.068,1.00,
Bering Sea,Cluster 4,early,2015,NA,7374,197,E GOA/PNW,NA,0.060,0.019,0.028,0.058,0.102,1.00,
Bering Sea,Cluster 2,late,2017,NA,13850,74,NE Asia,NA,0.341,0.044,0.256,0.34,0.429,1,
Bering Sea,Cluster 4,early,2015,NA,7374,197,NE Asia,NA,0.188,0.035,0.124,0.187,0.259,1.00,
Bering Sea,Cluster 3,late,2015,NA,24251,191,Up/Mid Yukon,NA,0.037,0.019,0.008,0.034,0.082,1.01,
Bering Sea,Cluster 4,early,2015,NA,7374,197,SE Asia,NA,0.637,0.037,0.564,0.638,0.709,1.00,
Bering Sea,Cluster 4,late,2015,NA,14343,190,Up/Mid Yukon,NA,0.018,0.012,0.002,0.016,0.047,1.00,
Bering Sea,Cluster 1 (ADFG 655430),Wk 27-32,2015,NA,,118,Up/Mid Yukon,NA,0.016,0.017,0.000,0.012,0.060,1.00,
Bering Sea,Cluster 1 (ADFG 655430),Wk 33,2015,NA,,200,Up/Mid Yukon,NA,0.031,0.014,0.010,0.030,0.064,1.00,
Bering Sea,Cluster 1 (ADFG 655430),Wk 34-36,2015,NA,,117,Up/Mid Yukon,NA,0.144,0.039,0.074,0.143,0.225,1.00,
Bering Sea,Cluster 1 (ADFG 655430),Wk 37-40,2015,NA,,115,Up/Mid Yukon,NA,0.084,0.039,0.015,0.082,0.168,1.00,
Bering Sea,Cluster 2 (ADFG 675500),Wk 38-39,2015,NA,,143,Up/Mid Yukon,NA,0.035,0.017,0.009,0.033,0.073,1.00,
Bering Sea,Cluster 3 (ADFG 705600),Wk 32-34,2015,NA,,118,Up/Mid Yukon,NA,0.039,0.029,0.001,0.032,0.111,1.00,
GOA,all,all,2017,NA,5802,812,NE Asia,NA,0.084,0.014,0.058,0.084,0.113,1,
Bering Sea,all,A season,2016,NA,3726,114,Up/Mid Yukon,NA,0.004,0.008,0,0.001,0.027,1.00,
Bering Sea,all,B season,2016,NA,339094,2701,Up/Mid Yukon,NA,0.053,0.007,0.041,0.053,0.067,1.00,
Bering Sea,all,early,2016,NA,56835,453,Up/Mid Yukon,NA,0.077,0.015,0.049,0.076,0.108,1.00,
Bering Sea,all,middle,2016,NA,166973,1333,Up/Mid Yukon,NA,0.046,0.010,0.027,0.045,0.067,1.00,
Bering Sea,all,late,2016,NA,115286,915,Up/Mid Yukon,NA,0.052,0.011,0.033,0.052,0.074,1.01,
Bering Sea,NMFS 517,all,2015,NA,263180,2126,Up/Mid Yukon,NA,0.051,0.007,0.037,0.051,0.066,1.00,
Bering Sea,NMFS 517,early,2015,NA,32564,262,Up/Mid Yukon,NA,0.095,0.022,0.055,0.094,0.141,1.00,
Bering Sea,NMFS 517,middle,2016,NA,124946,1024,Up/Mid Yukon,NA,0.033,0.011,0.013,0.033,0.055,1.00,
Bering Sea,NMFS 517,late,2016,NA,105670,840,Up/Mid Yukon,NA,0.051,0.011,0.032,0.051,0.074,1.01,
Bering Sea,NMFS 521,all,2016,NA,44785,329,Up/Mid Yukon,NA,0.059,0.019,0.023,0.059,0.097,1.00,
Bering Sea,NMFS 521,early,2016,NA,12955,102,Up/Mid Yukon,NA,0.037,0.029,0,0.035,0.100,1.00,
Bering Sea,NMFS 521,middle,2016,NA,31449,225,Up/Mid Yukon,NA,0.076,0.022,0.038,0.075,0.123,1.00,
Bering Sea,Eastern,all,2015,NA,176886,1407,NE Asia,NA,0.138,0.012,0.115,0.138,0.163,1.00,"NMFS 509, 513, 517, 518, 519)"
Bering Sea,Western,all,2015,NA,55153,429,SE Asia,NA,0.279,0.023,0.235,0.279,0.325,1.00,"NMFS 521, 523, 524"
Bering Sea,Cluster 1,early,2016,NA,111336,1043,Up/Mid Yukon,NA,0.071,0.013,0.047,0.070,0.097,1.00,
Bering Sea,Cluster 1,late,2016,NA,88941,681,Up/Mid Yukon,NA,0.047,0.014,0.023,0.045,0.076,1.02,
Bering Sea,Cluster 2,early,2017,NA,207139,809,SW Alaska,NA,0.035,0.01,0.017,0.034,0.056,1,
Bering Sea,Cluster 2,late,2017,NA,13850,74,SE Asia,NA,0.081,0.021,0.044,0.08,0.127,1,
Bering Sea,Cluster 3,early,2016,NA,29591,320,Up/Mid Yukon,NA,0.035,0.017,0.002,0.034,0.071,1.00,
Bering Sea,Cluster 3,late,2016,NA,15170,178,Up/Mid Yukon,NA,0.075,0.025,0.032,0.073,0.129,1.00,
Bering Sea,Cluster 4,late,2016,NA,6931,184,Up/Mid Yukon,NA,0.034,0.018,0.004,0.032,0.075,1.00,
Bering Sea,all,all,2013,NA,,,Up/Mid Yukon,NA,0.0622,0.0066,0.0496,0.0621,0.0754,1.02,
Bering Sea,all,early,2013,NA,,,Up/Mid Yukon,NA,0.0648,0.0100,0.0462,0.0644,0.0856,1.00,weeks 24-29
Bering Sea,all,middle,2013,NA,,,Up/Mid Yukon,NA,0.0448,0.0089,0.0290,0.0442,0.0637,1.00,weeks 30-34
Bering Sea,all,late,2013,NA,,,Up/Mid Yukon,NA,0.0646,0.0095,0.0473,0.0642,0.0844,1.00,weeks 35-43
Bering Sea,NMFS 509,all,2013,NA,,,Up/Mid Yukon,NA,0.0498,0.0094,0.0328,0.0493,0.0697,1.00,
Bering Sea,NMFS 509,early,2013,NA,,,Up/Mid Yukon,NA,0.0606,0.0118,0.039,0.0601,0.0853,1.00,weeks 24-29
Bering Sea,NMFS 509,middle,2013,NA,,,Up/Mid Yukon,NA,0.0380,0.0138,0.0136,0.0371,0.0675,1.00,weeks 30-34
Bering Sea,NMFS 517,early,2013,NA,,,Up/Mid Yukon,NA,0.0787,0.0195,0.0440,0.0774,0.1202,1.00,weeks 24-29
Bering Sea,NMFS 517,middle,2013,NA,,,Up/Mid Yukon,NA,0.0390,0.0096,0.0219,0.0384,0.0594,1.00,weeks 30-34
Bering Sea,NMFS 517,late,2013,NA,,,Up/Mid Yukon,NA,0.0239,0.0145,0.0002,0.0229,0.0550,1.00,weeks 35-43
Bering Sea,NMFS 521,early,2013,NA,,,Up/Mid Yukon,NA,0.0390,0.0430,0.0000,0.0233,0.1468,1.01,weeks 24-29
Bering Sea,NMFS 521,middle,2013,NA,,,Up/Mid Yukon,NA,0.1024,0.0276,0.0543,0.1004,0.1627,1.00,weeks 30-34
Bering Sea,NMFS 521,late,2013,NA,,,Up/Mid Yukon,NA,0.0960,0.0157,0.0667,0.0954,0.1281,1.00,weeks 35-43
Bering Sea,Eastern,all,2013,NA,,,Up/Mid Yukon,NA,0.0478,0.0082,0.0326,0.0475,0.0645,1.00,"NMFS 513, 517, 519"
Bering Sea,Western,all,2013,NA,,,Up/Mid Yukon,NA,0.0916,0.0126,0.0686,0.0910,0.1183,1.00,"NMFS 521, 523, 524"
GOA,all,all,2017,NA,5802,812,SE Asia,NA,0.011,0.004,0.004,0.01,0.021,1,
Bering Sea,all,all,2014,NA,1741,,Up/Mid Yukon,NA,0.0208,0.0058,0.0102,0.0206,0.0328,1.00,
Bering Sea,all,early,2014,NA,249,,Up/Mid Yukon,NA,0.0327,0.0143,0.0105,0.0308,0.0659,1.00,
Bering Sea,all,middle,2014,NA,957,,Up/Mid Yukon,NA,0.0153,0.0065,0.0054,0.0144,0.0307,1.00,
Bering Sea,all,late,2014,NA,535,,Up/Mid Yukon,NA,0.0185,0.0091,0.0049,0.0173,0.0396,1.00,
Bering Sea,Eastern,all,2015,NA,176886,1407,SE Asia,NA,0.041,0.006,0.030,0.041,0.054,1.00,"NMFS 509, 513, 517, 518, 519)"
Bering Sea,Western,all,2015,NA,55153,429,SW Alaska,NA,0.004,0.006,0,0.001,0.020,1.00,"NMFS 521, 523, 524"
Bering Sea,NMFS 509,early-mid,2014,NA,90,,Up/Mid Yukon,NA,0.0451,0.0253,0.0088,0.0410,0.1061,1.00,
Bering Sea,NMFS 517,early-mid,2014,NA,784,,Up/Mid Yukon,NA,0.0078,0.0055,0.0000,0.0068,0.0211,1.00,
Bering Sea,NMFS 517,late,2014,NA,252,,Up/Mid Yukon,NA,0.0317,0.0189,0.0047,0.0285,0.0762,1.01,
Bering Sea,NMFS 521,early-mid,2014,NA,295,,Up/Mid Yukon,NA,0.0240,0.0119,0.0068,0.0221,0.0524,1.00,
Bering Sea,NMFS 521,late,2014,NA,221,,Up/Mid Yukon,NA,0.0156,0.0095,0.0026,0.0138,0.0393,1.00,
Bering Sea,Cluster 2,all,2015,NA,,381,Up/Mid Yukon,NA,0.018,0.009,0.005,0.017,0.039,1.00,
Bering Sea,Cluster 3,all,2015,NA,,387,Up/Mid Yukon,NA,0.046,0.014,0.021,0.045,0.076,1.00,
Bering Sea,Cluster 4,all,2015,NA,,387,Up/Mid Yukon,NA,0.041,0.015,0.017,0.039,0.075,1.02,
GOA,all,all,2017,NA,5802,812,SW Alaska,NA,0.029,0.009,0.013,0.029,0.049,1,
Bering Sea,all,A season,2015,NA,4647,142,Western AK,NA,0.063,0.025,0.021,0.061,0.119,1.00,
Bering Sea,all,B season,2015,NA,232039,1836,Western AK,NA,0.160,0.011,0.138,0.160,0.182,1.00,
Bering Sea,all,early,2015,NA,19138,162,Western AK,NA,0.258,0.039,0.186,0.256,0.337,1.00,
Bering Sea,all,middle,2015,NA,122880,959,Western AK,NA,0.168,0.015,0.139,0.168,0.199,1.00,
Bering Sea,all,late,2015,NA,90021,715,Western AK,NA,0.138,0.018,0.105,0.138,0.173,1.00,
Bering Sea,NMFS 517,all,2015,NA,172641,1362,Western AK,NA,0.183,0.013,0.157,0.183,0.210,1.00,
Bering Sea,NMFS 517,early,2015,NA,8388,71,Western AK,NA,0.458,0.064,0.335,0.457,0.583,1.00,
Bering Sea,NMFS 517,middle,2015,NA,90438,698,Western AK,NA,0.177,0.018,0.142,0.176,0.212,1.00,
Bering Sea,NMFS 517,late,2015,NA,73815,593,Western AK,NA,0.169,0.020,0.131,0.169,0.210,1.00,
Bering Sea,NMFS 521,all,2015,NA,54442,423,Western AK,NA,0.107,0.019,0.073,0.106,0.146,1.00,
Bering Sea,NMFS 521,early,2015,NA,9619,81,Western AK,NA,0.089,0.042,0.020,0.086,0.181,1.00,
Bering Sea,NMFS 521,middle,2015,NA,30340,235,Western AK,NA,0.150,0.028,0.099,0.149,0.210,1.00,
Bering Sea,NMFS 521,late,2015,NA,14483,107,Western AK,NA,0.016,0.020,0,0.009,0.070,1.00,
Bering Sea,Eastern,all,2015,NA,176886,1407,SW Alaska,NA,0.024,0.006,0.013,0.024,0.036,1.00,"NMFS 509, 513, 517, 518, 519)"
Bering Sea,Western,all,2014,NA,580,,Up/Mid Yukon,NA,0.0179,0.007,0.0067,0.0171,0.0337,1.00,"NMFS 521, 523, 524"
Bering Sea,Cluster 1,all,2015,NA,,1162,Western AK,NA,0.198,0.015,0.170,0.197,0.227,1.00,
Bering Sea,Cluster 1,early,2015,NA,25417,213,Western AK,NA,0.296,0.036,0.226,0.295,0.368,1.00,
Bering Sea,Cluster 1,late,2015,NA,118231,949,Western AK,NA,0.176,0.016,0.146,0.176,0.207,1.00,
Bering Sea,Cluster 4,early,2015,NA,7374,197,SW Alaska,NA,0.004,0.008,0.000,0.001,0.027,1.00,
Bering Sea,Cluster 2,late,2017,NA,13850,74,SW Alaska,NA,0.028,0.019,0.003,0.025,0.074,1,
Bering Sea,Cluster 4,early,2015,NA,7374,197,Up/Mid Yukon,NA,0.059,0.021,0.024,0.057,0.106,1.00,
Bering Sea,Cluster 3,late,2015,NA,24251,191,Western AK,NA,0.146,0.032,0.088,0.145,0.212,1.00,
Bering Sea,Cluster 4,early,2015,NA,7374,197,Western AK,NA,0.052,0.023,0.012,0.050,0.102,1.00,
Bering Sea,Cluster 4,late,2015,NA,14343,190,Western AK,NA,0.016,0.015,0.000,0.013,0.053,1.00,
Bering Sea,Cluster 1 (ADFG 655430),Wk 27-32,2015,NA,,118,Western AK,NA,0.324,0.051,0.230,0.323,0.428,1.00,
Bering Sea,Cluster 1 (ADFG 655430),Wk 33,2015,NA,,200,Western AK,NA,0.148,0.028,0.096,0.146,0.207,1.00,
Bering Sea,Cluster 1 (ADFG 655430),Wk 34-36,2015,NA,,117,Western AK,NA,0.212,0.047,0.125,0.210,0.309,1.00,
Bering Sea,Cluster 1 (ADFG 655430),Wk 37-40,2015,NA,,115,Western AK,NA,0.235,0.055,0.135,0.233,0.348,1.00,
Bering Sea,Cluster 2 (ADFG 675500),Wk 38-39,2015,NA,,143,Western AK,NA,0.031,0.020,0.002,0.027,0.077,1.00,
Bering Sea,Cluster 3 (ADFG 705600),Wk 32-34,2015,NA,,118,Western AK,NA,0.201,0.048,0.111,0.199,0.300,1.00,
GOA,all,all,2017,NA,5802,812,Up/Mid Yukon,NA,0.002,0.003,0,0.001,0.01,1,
Bering Sea,all,A season,2016,NA,3726,114,Western AK,NA,0.032,0.026,0,0.027,0.094,1.00,
Bering Sea,all,B season,2016,NA,339094,2701,Western AK,NA,0.193,0.011,0.172,0.193,0.214,1.00,
Bering Sea,all,early,2016,NA,56835,453,Western AK,NA,0.185,0.023,0.142,0.184,0.230,1.00,
Bering Sea,all,middle,2016,NA,166973,1333,Western AK,NA,0.227,0.016,0.197,0.227,0.259,1.00,
Bering Sea,all,late,2016,NA,115286,915,Western AK,NA,0.156,0.017,0.122,0.156,0.191,1.00,
Bering Sea,NMFS 517,all,2015,NA,263180,2126,Western AK,NA,0.211,0.012,0.188,0.211,0.235,1.00,
Bering Sea,NMFS 517,early,2015,NA,32564,262,Western AK,NA,0.198,0.032,0.138,0.197,0.262,1.00,
Bering Sea,NMFS 517,middle,2016,NA,124946,1024,Western AK,NA,0.269,0.018,0.234,0.269,0.306,1.00,
Bering Sea,NMFS 517,late,2016,NA,105670,840,Western AK,NA,0.161,0.018,0.127,0.160,0.197,1.00,
Bering Sea,NMFS 521,all,2016,NA,44785,329,Western AK,NA,0.085,0.023,0.045,0.083,0.137,1.00,
Bering Sea,NMFS 521,early,2016,NA,12955,102,Western AK,NA,0.062,0.040,0.008,0.054,0.155,1.00,
Bering Sea,NMFS 521,middle,2016,NA,31449,225,Western AK,NA,0.099,0.027,0.050,0.098,0.157,1.00,
Bering Sea,Eastern,all,2015,NA,176886,1407,Up/Mid Yukon,NA,0.038,0.008,0.024,0.038,0.054,1.00,"NMFS 509, 513, 517, 518, 519)"
Bering Sea,Western,all,2015,NA,55153,429,Up/Mid Yukon,NA,0.023,0.009,0.008,0.022,0.044,1.00,"NMFS 521, 523, 524"
Bering Sea,Cluster 1,early,2016,NA,111336,1043,Western AK,NA,0.240,0.018,0.205,0.240,0.277,1.00,
Bering Sea,Cluster 1,late,2016,NA,88941,681,Western AK,NA,0.243,0.023,0.199,0.243,0.288,1.00,
Bering Sea,Cluster 2,early,2017,NA,207139,809,Up/Mid Yukon,NA,0.06,0.011,0.04,0.059,0.082,1,
Bering Sea,Cluster 2,late,2017,NA,13850,74,Up/Mid Yukon,NA,0.025,0.015,0.002,0.023,0.059,1,
Bering Sea,Cluster 3,early,2016,NA,29591,320,Western AK,NA,0.071,0.022,0.033,0.070,0.118,1.00,
Bering Sea,Cluster 3,late,2016,NA,15170,178,Western AK,NA,0.110,0.032,0.053,0.108,0.177,1.00,
Bering Sea,Cluster 4,late,2016,NA,6931,184,Western AK,NA,0.133,0.033,0.073,0.132,0.203,1.00,
GOA,all,all,2017,NA,5802,812,Western AK,NA,0.029,0.009,0.013,0.028,0.048,1,
Bering Sea,all,B season,2017,NA,464898,2064,Western AK,NA,0.14,0.011,0.119,0.139,0.161,1,
Bering Sea,all,early,2017,NA,287683,1307,Western AK,NA,0.146,0.014,0.118,0.145,0.174,1,
Bering Sea,all,middle,2017,NA,142265,589,Western AK,NA,0.15,0.02,0.112,0.15,0.19,1,
Bering Sea,all,late,2017,NA,34950,168,Western AK,NA,0.126,0.035,0.064,0.124,0.201,1,
Bering Sea,Eastern,all,2015,NA,176886,1407,Western AK,NA,0.181,0.013,0.156,0.181,0.207,1.00,"NMFS 509, 513, 517, 518, 519)"
Bering Sea,Western,all,2015,NA,55153,429,Western AK,NA,0.109,0.018,0.075,0.108,0.146,1.00,"NMFS 521, 523, 524"
Bering Sea,Cluster 1,early,2017,NA,134212,640,Western AK,NA,0.231,0.023,0.187,0.231,0.277,1,
Bering Sea,Cluster 1,late,2017,NA,18133,94,Western AK,NA,0.242,0.038,0.17,0.24,0.32,1,
Bering Sea,Cluster 2,early,2017,NA,207139,809,Western AK,NA,0.124,0.016,0.094,0.123,0.156,1,
Bering Sea,Cluster 2,late,2017,NA,13850,74,Western AK,NA,0.075,0.027,0.028,0.073,0.132,1,
Bering Sea,Cluster 3,early,2017,NA,31915,155,Western AK,NA,0.086,0.031,0.033,0.084,0.152,1,
Bering Sea,Cluster 3,late,2017,NA,2815,12,Western AK,NA,0.13,0.059,0.026,0.126,0.255,1,
Bering Sea,Cluster 4,early,2017,NA,6090,35,Western AK,NA,0.117,0.03,0.063,0.115,0.181,1,
Bering Sea,Cluster 4,late,2017,NA,19078,83,Western AK,NA,0.057,0.022,0.022,0.054,0.106,1,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
