RepGroup,SubGroup,GenePop,Location,NOAA_repunit
EastofKodiak,,CMWELLB06,WellsBridge,GOA/PNW
EastofKodiak,,CMSAWM06S,SawmillCkBerners,GOA/PNW
EastofKodiak,,CMFCJUN06S,DIPACH,GOA/PNW
EastofKodiak,,CMTAKU06F,TakuRF,GOA/PNW
EastofKodiak,,CMPROS10,ProspectCk,GOA/PNW
EastofKodiak,,CMSANB06S,SanbornCk,GOA/PNW
EastofKodiak,,CMADMI10,AdmiraltyCk,GOA/PNW
EastofKodiak,,CMSWANC10,SwanCoveCk,GOA/PNW
EastofKodiak,,CMLONG92,LongBay,GOA/PNW
EastofKodiak,,CMSALTE92,SalteryBay,GOA/PNW
EastofKodiak,,CMFORD06F,FordArmLake,GOA/PNW
EastofKodiak,,CMSIST06,SistersLake,GOA/PNW
EastofKodiak,,CMHFHAT06,HiddenFsH,GOA/PNW
EastofKodiak,,CMRALPH06,Ralph'sCk,GOA/PNW
EastofKodiak,,CMSAOB06,SaookBay,GOA/PNW
EastofKodiak,,CMMEDV09,MedvejieH,GOA/PNW
EastofKodiak,,CMNAKWA06,NakwasinaR,GOA/PNW
EastofKodiak,,CMWCRA06,WestCrawfish,GOA/PNW
EastofKodiak,,CMKLAH86,KlahiniR,GOA/PNW
EastofKodiak,,CMHARDR10,HardingR,GOA/PNW
EastofKodiak,,CMDISA98,DisappearanceCk,GOA/PNW
EastofKodiak,,CMDISA10F,DisappearanceCkF,GOA/PNW
EastofKodiak,,CMKARTA06,KartaR,GOA/PNW
EastofKodiak,,CMLAGO10F,LagoonCkF,GOA/PNW
EastofKodiak,,CMDRYB06S,DryBayCk,GOA/PNW
EastofKodiak,,CMNARM87,NorthArmCkd,GOA/PNW
EastofKodiak,,CMSAGI10,SaginawCk,GOA/PNW
EastofKodiak,,CMSAMPL10,SampleCk,GOA/PNW
EastofKodiak,,CMCARR09,CarrollR,GOA/PNW
EastofKodiak,,CMNEET06S,NeetsBaySum,GOA/PNW
EastofKodiak,,CMNEET06F,NeetsBayF,GOA/PNW
EastofKodiak,,CMTRACR06,TraitorsCoveCk,GOA/PNW
EastofKodiak,,CMFCHYD06,FishCkEarly,GOA/PNW
EastofKodiak,,CMFISH88L,FishCk,GOA/PNW
EastofKodiak,,CMHIDIN09,HiddenInlet,GOA/PNW
EastofKodiak,,CMNAKA06S,NakatInlet,GOA/PNW
EastofKodiak,,CMSTAG88,Stagoo,GOA/PNW
EastofKodiak,,CMECST88,Ecstall,GOA/PNW
EastofKodiak,,CMKITW06UW,KitwangaRd,GOA/PNW
EastofKodiak,,CMBAGH89,BagHarbor,GOA/PNW
EastofKodiak,,CMPALL06,PallantCk,GOA/PNW
